raw_data
Location,1999__Opioid Overdose Deaths,2000__Opioid Overdose Deaths,2001__Opioid Overdose Deaths,2002__Opioid Overdose Deaths,2003__Opioid Overdose Deaths,2004__Opioid Overdose Deaths,2005__Opioid Overdose Deaths,2006__Opioid Overdose Deaths,2007__Opioid Overdose Deaths,2008__Opioid Overdose Deaths,2009__Opioid Overdose Deaths,2010__Opioid Overdose Deaths,2011__Opioid Overdose Deaths,2012__Opioid Overdose Deaths,2013__Opioid Overdose Deaths,2014__Opioid Overdose Deaths,2015__Opioid Overdose Deaths,2016__Opioid Overdose Deaths,2017__Opioid Overdose Deaths,2018__Opioid Overdose Deaths,2019__Opioid Overdose Deaths,2020__Opioid Overdose Deaths,2021__Opioid Overdose Deaths
Massachusetts,326,314,500,484,588,459,557,659,649,596,622,549,655,691,888,1140,1550,1990,1913,1991,1969,2065,2267
Michigan,121,180,192,227,253,351,483,594,506,643,736,695,714,685,909,1052,1309,1762,2033,2011,1789,2190,2536
Minnesota,57,57,96,95,106,135,144,158,180,227,272,235,286,290,305,318,338,396,422,343,428,678,978
Mississippi,15,12,26,26,31,26,40,65,95,106,96,100,79,111,100,115,150,180,185,173,245,405,556
Missouri,100,131,132,189,271,275,302,403,390,475,526,599,595,539,620,696,692,914,952,1132,1096,1377,1582
Montana,16,11,20,20,41,45,45,47,62,70,89,54,63,51,67,53,48,42,38,64,70,86,114
Nebraska,NSD,16,32,25,14,26,43,34,39,29,66,58,53,53,41,56,55,44,59,63,68,101,113
Nevada,153,178,182,220,244,275,323,343,376,397,439,439,461,446,398,375,419,408,412,372,373,559,605
New Hampshire,40,29,53,80,92,90,109,104,145,94,126,116,154,133,157,297,380,437,424,412,365,341,382
New Jersey,323,350,397,486,445,312,435,372,339,331,55,373,454,602,675,728,862,1409,1969,2583,2502,2538,2672
New Mexico,180,180,151,196,218,185,211,243,266,324,200,191,243,319,322,402,351,349,332,338,394,535,750
New York,621,494,611,555,576,479,562,1010,1029,1116,1058,1074,1356,1530,1681,1739,2166,3009,3224,2991,2939,4233,4946
North Carolina,159,286,338,407,496,562,654,696,750,846,857,776,822,833,834,967,1171,1506,1953,1783,1817,2634,3339
North Dakota,NSD,NSD,NSD,14,NSD,13,NSD,NSD,17,32,17,18,10,NSD,11,31,34,54,35,36,43,71,74
Ohio,164,250,336,421,365,515,560,634,705,814,664,1124,1272,1355,1630,2106,2698,3613,4293,3237,3452,4385,4456
Oklahoma,89,127,156,146,254,306,313,383,492,410,568,510,483,531,511,502,427,444,388,308,268,320,468
Oregon,120,106,147,193,209,225,267,359,358,342,368,332,392,361,301,340,331,312,344,339,332,499,779
Pennsylvania,320,319,252,345,470,475,504,418,492,611,637,629,752,827,958,1092,1362,2235,2548,2866,3034,3907,4081
Rhode Island,35,57,78,72,99,75,112,130,87,133,115,111,142,140,190,205,254,279,277,267,240,331,385
South Carolina,48,87,83,81,92,128,149,214,199,218,238,271,243,237,247,515,554,628,749,835,862,1409,1712
South Dakota,NSD,NSD,NSD,12,NSD,20,22,23,20,31,35,32,34,24,34,33,27,42,35,28,39,46,46
Tennessee,89,100,136,167,294,379,447,470,479,480,535,633,633,723,767,863,1038,1186,1269,1307,1543,2412,3038
Texas,351,379,561,739,791,814,872,1067,1021,944,1151,1123,1178,1131,1053,1151,1287,1375,1458,1402,1497,2124,2770
Utah,141,156,157,203,258,264,326,331,359,350,370,336,381,422,432,455,448,466,456,437,397,447,446
Vermont,15,22,31,36,45,37,37,57,52,57,39,43,55,55,70,64,79,101,114,127,114,157,218
Virginia,201,250,312,352,362,390,363,408,502,490,477,389,575,533,640,758,820,1130,1241,1193,1266,1897,2230
Washington,353,353,324,455,471,575,603,661,651,690,708,628,697,695,640,673,692,709,742,737,827,1195,1623
West Virginia,33,50,138,178,193,251,140,285,332,371,184,451,550,468,490,554,629,733,833,702,673,1129,1253
Wisconsin,83,112,140,173,200,221,273,334,371,369,397,415,473,483,599,627,622,866,926,846,928,1251,1437
Wyoming,NSD,10,NSD,17,NSD,12,10,14,25,40,32,47,43,45,48,54,46,50,47,40,47,60,71
